year,Base case cost,Modeled water and wastewater efficiency
2017,63914.4858381,71644.4597996
2018,67909.4961375,72692.3060968
2019,73453.3873928,74495.4899105
2020,76020.4725933,74906.2302155
2021,77927.1065199,75022.9175334
2022,79281.1189703,74895.8290361
2023,80190.4257161,74575.3015602
2024,80990.3233727,74220.762758
2025,82013.8042241,73990.0973769
2026,83153.9123088,73832.7836924
2027,84075.3190687,73588.5916263
2028,84885.7830973,73307.7723473
2029,86033.8682755,73203.9810628
2030,86629.462148,72853.4046892
2031,87883.4772713,72829.3560972
