year,Base case cost,Modeled non-residential energy efficiency
2017,303981.969142,346442.749722
2018,323601.572371,362050.563603
2019,350851.021299,384532.661586
2020,363385.767806,393890.074779
2021,372650.580442,400364.581708
2022,379190.448185,404442.913763
2023,383550.360013,406611.826339
2024,387365.282863,408333.605142
2025,392270.183671,411070.559013
2026,397720.073456,414334.004702
2027,402079.985285,416659.773435
2028,405894.908135,418534.732088
2029,411344.79792,421909.029344
2030,414069.742813,422879.790733
2031,420064.621578,426811.480123
