year,Base case cost,Modeled transmission and interties
2021,436244.705726,
2022,449005.068473,
2023,457769.793708,
2024,464827.918281,
2025,474638.523554,
2026,485488.746111,
2027,494344.281289,
2028,501435.285324,
2029,512355.963872,
2030,518227.296424,
2031,530220.471719,
2032,541228.828833,
2033,553289.32874,
2034,564518.447958,
2035,572541.036758,
2036,584681.386788,
2037,591728.55154,
2038,603929.963429,
2039,613173.789399,
2040,626452.3951,
