year,Base case diesel consumed,Modeled residential energy efficiency
2017,50644.0956383,39518.0105876
2018,50644.0956383,39518.0105876
2019,51666.6400256,40540.5549749
2020,51666.6400256,40540.5549749
2021,52689.1844129,41563.0993622
2022,52689.1844129,41563.0993622
2023,53711.7288001,42585.6437494
2024,53711.7288001,42585.6437494
2025,53711.7288001,42585.6437494
2026,54734.2731874,43608.1881367
2027,54734.2731874,43608.1881367
2028,54734.2731874,43608.1881367
2029,55756.8175747,44630.732524
2030,55756.8175747,44630.732524
2031,56779.361962,45653.2769113
