year,Base case cost,Modeled solar power (pv)
2016,128859.309799,134317.201445
2017,154073.160313,158992.499957
2018,172351.009971,176851.789274
2019,197710.469533,201691.56467
2020,209251.943642,212931.824544
2021,218122.352863,221553.195685
2022,224502.534237,227727.684476
2023,228884.896854,231939.132866
2024,232413.95914,235308.770641
2025,237319.261777,240043.582501
2026,242744.373056,245294.781041
2027,247172.140645,249567.241689
2028,250717.642662,252968.355007
2029,256177.981936,258266.190583
2030,259113.648212,261078.780562
2031,265110.235859,266912.900042
2032,270614.414416,272265.334861
2033,276644.66437,278140.385511
2034,282259.223979,283603.296039
2035,286270.518379,287493.84471
