year,Base case cost,Modeled non-residential energy efficiency
2017,801125.219088,784482.731459
2018,850603.083585,826068.741657
2019,919322.339831,884680.883106
2020,952307.58283,911810.590336
2021,974297.744828,929285.095162
2022,990790.366328,941954.05562
2023,1003159.83245,951029.098067
2024,1012780.52833,957721.873687
2025,1023775.60933,965669.429338
2026,1037519.46058,976083.464126
2027,1049888.9267,985324.957472
2028,1059509.62257,992180.282819
2029,1071879.0887,1001499.26411
2030,1080125.39945,1007217.57559
2031,1093869.2507,1017823.14085
