year,Base case cost,Modeled biomass for heat (cordwood)
2017,873997.174366,925758.636319
2018,939728.29999,983381.607764
2019,1029758.76653,1062583.37573
2020,1076969.67245,1104087.70749
2021,1118189.42294,1141192.98504
2022,1145945.76826,1165642.08447
2023,1168761.83343,1185761.5129
2024,1188466.06255,1203183.10909
2025,1217152.32756,1229411.98971
2026,1242456.9941,1251887.93932
2027,1266194.81064,1273013.46159
2028,1286607.72869,1291226.11244
2029,1310711.49508,1312756.84855
2030,1329577.77192,1329657.28304
2031,1355805.88693,1353153.73171
2032,1384181.75377,1378619.91799
2033,1410962.60092,1402704.80918
2034,1447834.29563,1436701.69675
2035,1469517.45277,1456311.19741
2036,1499147.84402,1483100.03941
