year,Base case cost,Modeled water and wastewater efficiency
2017,42009.4523087,48460.2786977
2018,45120.1608494,50120.3410934
2019,49392.2866492,52582.4713514
2020,51709.2090563,53723.2269418
2021,53880.132081,54776.475109
2022,55305.4964267,55330.2104563
2023,56485.1781832,55726.3332558
2024,57806.6587424,56229.6746319
2025,59064.657372,56698.569676
2026,60459.9605856,57269.9896245
2027,61807.4465872,57817.8365018
2028,63099.5818181,58337.0381829
2029,64447.1669349,58902.0915983
2030,65600.750295,59343.4831333
2031,66967.9572295,59938.0306347
