year,Base case cost,Modeled residential energy efficiency
2017,795873.33777,789393.172802
2018,852159.909029,837144.182627
2019,928090.801288,902157.264384
2020,970615.363909,938339.141369
2021,1013911.09282,976734.710206
2022,1041459.33252,1000128.26248
2023,1065159.83051,1020244.41741
2024,1086295.16736,1038190.65449
2025,1120514.94859,1069093.57369
2026,1146564.25433,1091523.2067
2027,1171434.64047,1112991.94856
2028,1193591.77837,1132138.40349
2029,1218965.66068,1154195.69336
2030,1240047.53996,1172523.91367
2031,1267444.43838,1196511.36584
2032,1296686.64838,1222209.29974
2033,1324690.70394,1246881.26325
2034,1367245.26626,1285967.09068
2035,1391179.44945,1307164.84921
2036,1421813.67827,1334402.38484
