year,Base case diesel consumed,Modeled wind power
2019,2812426.60107,2020229.11087
2020,2797546.37026,2005348.88006
2021,2784490.16774,1992292.67753
2022,2767689.90714,1975492.41694
2023,2747241.58995,1955044.09975
2024,2725353.25043,1933155.76023
2025,2700584.86624,1908387.37603
2026,2674952.46864,1882754.97843
2027,2652584.12167,1860386.63147
2028,2629063.75683,1836866.26663
2029,2590567.15969,1798369.66949
2030,2552646.57149,1760449.08128
2031,2518566.04284,1726368.55264
2032,2498213.72715,1706016.23694
2033,2478437.42039,1686239.93018
2034,2458085.10469,1665887.61449
2035,2436100.76368,1643903.27348
2036,2408740.33928,1616542.84907
2037,2377635.8568,1585438.3666
2038,2351427.45027,1559229.96006
