year,Base case cost,Modeled biomass for heat (pellet)
2017,225958.145827,241653.838171
2018,247122.905827,259916.301188
2019,271191.358685,280115.491463
2020,285818.888685,292632.136927
2021,295057.328685,300447.193498
2022,302756.028685,306923.172163
2023,301785.664104,305125.28625
2024,306320.884104,308838.69164
2025,305094.406962,306795.972862
2026,311029.286962,311725.375422
2027,316222.306962,316015.57186
2028,314621.882381,313614.853032
2029,319716.902381,317817.308293
2030,317136.617799,314544.086927
2031,322847.497799,319274.846684
2032,322110.190658,317562.139789
2033,328408.840658,322792.660811
2034,334707.490658,328027.683645
2035,332127.006076,324679.985435
2036,338299.656076,329797.697828
