year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,78388.0,68654.0920023
2018,78388.0,68654.0920023
2019,76987.0,67253.0920023
2020,76987.0,67253.0920023
2021,76987.0,67253.0920023
2022,76987.0,67253.0920023
2023,75587.0,65853.0920023
2024,75587.0,65853.0920023
2025,74186.0,64452.0920023
2026,74186.0,64452.0920023
2027,74186.0,64452.0920023
2028,72786.0,63052.0920023
2029,72786.0,63052.0920023
2030,71386.0,61652.0920023
2031,71386.0,61652.0920023
2032,69985.0,60251.0920023
2033,69985.0,60251.0920023
2034,69985.0,60251.0920023
2035,68585.0,58851.0920023
2036,68585.0,58851.0920023
