year,Base case diesel consumed,Modeled residential energy efficiency
2017,462251.556076,428209.799886
2018,460773.769053,426732.012863
2019,462251.556076,428209.799886
2020,462251.556076,428209.799886
2021,463729.343099,429687.586909
2022,465207.130122,431165.373931
2023,466684.917144,432643.160954
2024,469640.49119,435598.735
2025,471118.278213,437076.522023
2026,471118.278213,437076.522023
2027,471118.278213,437076.522023
2028,472596.065235,438554.309045
2029,474073.852258,440032.096068
2030,474073.852258,440032.096068
2031,474073.852258,440032.096068
2032,474073.852258,440032.096068
2033,474073.852258,440032.096068
2034,474073.852258,440032.096068
2035,475551.639281,441509.883091
2036,475551.639281,441509.883091
