year,Base case cost,Modeled transmission and interties
2021,1686166.22934,
2022,1740545.76132,
2023,1787196.35739,
2024,1821929.4234,
2025,1860549.05689,
2026,1906414.38363,
2027,1941792.75539,
2028,1971918.80985,
2029,2017190.39638,
2030,2047851.25902,
2031,2086724.30024,
2032,2127304.89707,
2033,2168021.03757,
2034,2212776.96883,
2035,2245440.04724,
2036,2294433.19155,
2037,2320386.85818,
2038,2355585.48724,
2039,2390990.37841,
2040,2436158.83389,
