year,annotation,diesel generation efficiency
2003,,10.0
2004,,10.0
2005,,10.27
2006,,9.96
2007,,10.1
2008,,9.81
2009,,11.51
2010,,9.77
2011,,10.96
2012,,10.51
2013,,10.57
2014,,10.18
2016,start of forecast,10.42
2017,,10.42
2018,,10.42
2019,,10.42
2020,,10.42
2021,,10.42
2022,,10.42
2023,,10.42
2024,,10.42
2025,,10.42
2026,,10.42
2027,,10.42
2028,,10.42
2029,,10.42
2030,,10.42
2031,,10.42
2032,,10.42
2033,,10.42
2034,,10.42
2035,,10.42
2036,,10.42
2037,,10.42
2038,,10.42
2039,,10.42
2040,,10.42
