year,Base case cost,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2021,8019331.68308,9627362.55611,9090014.13888,8233005.35014,8518679.07134,25414138.2177,10518555.2191,86641038.7658,1769989426.14,96767348.5512,11160148.9172,23248034.3962,8472986.61542,8468642.69805,8105952.10834,8301398.54094,11738618.9704
2022,8247715.92328,9681526.8235,9244393.96576,8385973.78065,8656705.38941,24832625.218,10584608.1944,84868198.5335,1733734154.61,94726887.9518,11193279.4539,22709191.5769,8671767.65656,8686819.53953,8325057.6411,8465268.02207,11424074.6833
2023,8351614.43346,9648891.89844,9288533.76467,8432963.70117,8691313.52279,24256545.1607,10556738.8781,83129975.2041,1698730025.09,92742783.3109,11138073.6546,22174623.9017,8751646.20249,8781103.97854,8421680.12347,8520032.41036,11108234.9281
2024,8448595.07634,9611284.2107,9326689.06487,8473744.41527,8719920.11182,23685341.3429,10524040.707,81423818.6489,1664522380.99,90795930.6812,11078499.9099,21643965.4113,8824987.2561,8868682.65621,8511488.60261,8568512.59741,10791189.6454
2025,8533848.17731,9563848.50224,9354028.31829,8503489.64089,8737694.00793,23113927.6955,10481655.0506,79744005.5904,1631087584.9,88880485.2692,11009688.7878,21112152.6999,8886972.22873,8944740.92726,8589670.96988,8605884.05869,10467995.2923
2026,8666845.99839,9548165.14682,9423357.46085,8572764.64698,8794021.8881,22542585.8231,10474794.2197,78089524.9606,1598190252.1,86987102.6581,10974285.0591,20579573.2698,8994467.81224,9068558.13424,8714748.94899,8684238.67342,10139322.993
2027,8780053.44273,9523426.62319,9477087.97757,8627354.65642,8836445.09195,21991898.0752,10457194.6301,76481356.8425,1566159592.67,85148969.0332,10929850.3233,20066705.4404,9083825.70374,9172876.53643,8820607.36308,8747076.00006,9825515.55756
2028,8859944.86053,9476064.82092,9501673.84371,8653718.5497,8851417.96682,21448081.3426,10415285.03,74905124.5715,1534964543.09,83351594.5386,10862803.2673,19559787.2127,9141511.95004,9244165.85387,8893718.29505,8780856.5562,9512922.63884
2029,8911551.02934,9393221.69354,9495480.98107,8647981.22768,8833887.14878,20856994.3253,10339839.5367,73305437.0103,1504316542.78,81531262.8568,10761351.1943,19004781.6613,9169952.35777,9287264.27879,8938162.14779,8783231.73486,9147782.87557
2030,8908736.53448,9275492.38263,9442321.98716,8597328.68135,8772795.06377,20280637.1281,10225997.4494,71744733.6636,1474587432.65,79762627.5405,10624459.2936,18463583.3788,9146898.88908,9276314.07767,8929223.58574,8739101.74767,8791847.51363
