year,Base case cost,Modeled diesel efficiency
2019,7227936.36476,7703551.07372
2020,7721227.98192,8125450.34617
2021,8019331.68308,8370528.26878
2022,8247715.92328,8552832.4908
2023,8351614.43346,8622561.25483
2024,8448595.07634,8686580.526
2025,8533848.17731,8740504.29283
2026,8666845.99839,8838384.98562
2027,8780053.44273,8918814.1082
2028,8859944.86053,8969482.9656
2029,8911551.02934,8994952.64241
2030,8908736.53448,8971451.60514
2031,8991280.77295,9026040.25497
2032,9118480.10409,9121703.77706
2033,9269355.95225,9239359.50408
2034,9414465.95097,9352230.67874
2035,9476431.97072,9389962.83133
2036,9586786.55033,9472120.53566
2037,9581872.5029,9449914.31227
2038,9687881.0951,9528962.60837
