year,Base case cost,Modeled biomass for heat (cordwood)
2017,322388.489909,331958.675071
2018,348753.051832,355246.001017
2019,389114.456539,391538.286679
2020,404741.559785,405013.519924
2021,414181.351708,412854.757538
2022,423815.386416,421261.537645
2023,427145.507016,423553.69166
2024,428436.610262,423995.941606
2025,430536.610862,425163.282407
2026,438938.965569,432458.087797
2027,440817.587492,433417.773678
2028,441642.849415,433421.637538
2029,445059.198692,435750.306004
2030,444718.129292,434691.536169
2031,447830.111215,436728.318966
2032,455793.727245,443622.758176
2033,458645.800492,445411.53576
2034,467402.437845,453019.704387
2035,472651.915199,457489.987251
2036,476042.809768,459743.499056
