year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,99462.0,90370.3617754
2018,98481.0,89389.3617754
2019,98477.0,89385.3617754
2020,97497.0,88405.3617754
2021,96516.0,87424.3617754
2022,96512.0,87420.3617754
2023,95530.0,86438.3617754
2024,94550.0,85458.3617754
2025,93568.0,84476.3617754
2026,93564.0,84472.3617754
2027,92583.0,83491.3617754
2028,91602.0,82510.3617754
2029,90619.0,81527.3617754
2030,89637.0,80545.3617754
2031,88656.0,79564.3617754
2032,88653.0,79561.3617754
2033,87673.0,78581.3617754
2034,87671.0,78579.3617754
2035,87669.0,78577.3617754
2036,86690.0,77598.3617754
