year,Base case cost,Sitkoh creek,Kathleen creek (lake kathleen) -- kethleen creek,Lake florence (florence creek),Kook lake (kook creek),Harley creek (tenakee springs),Indian river hydroelectric project - construction
2018,0.0,,,,,,
2019,0.0,,,,,,
2020,0.0,,,,,,
2021,0.0,1336684.03271,12850630.8034,3196997.40135,1187844.79415,379785.967954,
2022,0.0,1309410.81892,12577642.809,3130872.29378,1163501.43891,371923.651508,
2023,0.0,1282911.06416,12313383.9396,3066704.35173,1139858.24507,364294.676263,
2024,0.0,1257170.20436,12057711.4894,3004458.51876,1116902.24359,356894.875957,
2025,0.0,1231945.92269,11806525.5164,2943408.41213,1094400.54057,349636.809607,
2026,0.0,1207148.29826,11558369.731,2883289.88307,1072267.35803,342488.713124,
2027,0.0,1183067.89308,11318392.0062,2824993.14744,1050784.25638,335557.869621,
2028,0.0,1159615.43015,11085142.3615,2768255.60634,1029866.03103,328812.699203,
2029,0.0,1136473.84772,10853213.2665,2712123.25767,1009207.52401,322138.338114,
2030,0.0,1114162.73441,10631722.3124,2658180.70972,989311.354946,315725.708582,
2031,0.0,1092061.50177,10409987.0615,2604552.53782,969579.260646,309348.95499,
2032,0.0,1070462.22885,10193170.2517,2552132.60943,950294.152422,303115.794426,
2033,0.0,1049353.15108,9981156.60805,2500892.60659,931445.554131,297022.86146,
2034,0.0,1028646.74796,9772513.36096,2450574.15841,912949.825305,291039.078669,
2035,0.0,1008711.95716,9573731.54789,2402303.83956,895164.023515,285300.190577,
2036,0.0,988929.570096,9374142.25142,2354209.54672,877491.114314,279580.736293,
2037,0.0,969897.138911,9184202.18878,2308111.25502,860508.847475,274099.981559,
2038,0.0,950995.962344,8993247.41367,2262138.08231,843620.640325,268632.610618,
2039,0.0,932672.025283,8809099.11089,2217649.76441,827257.864631,263342.449375,
2040,0.0,914535.205077,8625058.66249,2173468.7333,811044.597984,258087.693031,
2041,0.0,897640.211237,8459513.44367,2132801.59262,795999.910806,253254.629284,
2042,0.0,881141.193815,8297848.19092,2093087.58805,781307.833483,248534.840468,
2043,0.0,865028.871962,8139971.96604,2054304.3801,766960.101587,243925.67166,
2044,0.0,849294.182762,7985795.96625,2016430.15384,752948.644755,239424.530277,
2045,0.0,833928.275361,7835233.46666,1979443.60482,739265.581461,235028.8844,
2046,0.0,818922.506406,7688199.77557,1943323.92801,725903.214955,230736.261472,
2047,0.0,804268.435216,7544612.18715,1908050.80626,712854.028964,226544.246909,
2048,0.0,789957.818697,7404389.93164,1873604.39801,700110.683159,222450.482653,
2049,0.0,775982.607299,7267454.1357,1839965.32757,687666.009564,218452.666009,
2050,0.0,762334.939931,7133727.77259,1807114.67287,675513.008018,214548.548197,
2051,0.0,749007.139784,7003135.6213,1775033.95543,663644.84246,210735.933151,
2052,0.0,735991.7099,6875604.22303,1743705.12967,652054.836985,207012.676255,
2053,0.0,723281.329258,6751061.84292,1713110.57353,640736.472357,203376.683222,
2054,0.0,710868.848079,6629438.42403,1683233.07709,629683.381824,199825.908752,
2055,0.0,698747.284434,6510665.55409,1654055.83449,618889.348108,196358.35556,
2056,0.0,686909.819944,6394676.42335,1625562.43352,608348.299562,192972.073149,
2057,0.0,675349.795991,6281405.78751,1597736.84656,598054.30681,189665.156721,
2058,0.0,664060.710206,6170789.93323,1570563.42204,588001.579606,186435.746177,
2059,0.0,653036.212284,6062766.63721,1544026.87446,578184.463122,183282.024918,
2060,0.0,642270.100996,5957275.13684,1518112.27713,568597.435273,180202.218991,
2061,0.0,631756.320529,5854256.09436,1492805.05338,559235.103467,177194.596041,
2062,0.0,621488.956707,5753651.55986,1468090.96749,550092.201237,174257.464229,
2063,0.0,611462.234252,5655404.94441,1443956.11805,541163.585803,171389.171452,
2064,0.0,601670.513133,5559460.98428,1420386.92921,532444.234818,168588.104295,
2065,0.0,592108.285562,5465765.71155,1397370.14343,523929.243697,165852.687174,
2066,0.0,582770.17248,5374266.41962,1374892.81305,515613.822485,163181.381329,
2067,0.0,573650.921595,5284911.64402,1352942.29551,507493.29411,160572.684263,
2068,0.0,564745.403079,5197651.12026,1331506.24304,499563.090554,158025.128514,
2069,0.0,556048.607744,5112435.76591,1310572.59828,491818.751224,155537.281128,
2070,0.0,547555.643519,5029217.64613,1290129.58574,484255.91982,153107.742658,
