year,Base case diesel consumed,Modeled residential energy efficiency
2017,59268.9056171,43171.3892481
2018,58291.2823229,42193.7659539
2019,58291.2823229,42193.7659539
2020,57313.6590287,41216.1426597
2021,56336.0357345,40238.5193655
2022,56336.0357345,40238.5193655
2023,55358.4124403,39260.8960713
2024,54380.7891461,38283.2727771
2025,53403.1658519,37305.6494829
2026,53403.1658519,37305.6494829
2027,52425.5425577,36328.0261887
2028,51447.9192635,35350.4028945
2029,50470.2959693,34372.7796003
2030,49492.6726751,33395.1563061
2031,48515.0493809,32417.5330119
2032,48515.0493809,32417.5330119
2033,47537.4260867,31439.9097177
2034,47537.4260867,31439.9097177
2035,47537.4260867,31439.9097177
2036,46559.8027925,30462.2864235
