year,Base case diesel consumed,Modeled diesel efficiency
2019,193083.668614,175530.607831
2020,195221.6388,177474.217091
2021,197468.582815,179516.893468
2022,199020.940589,180928.127808
2023,201319.314159,183017.558326
2024,202850.142322,184409.220292
2025,204621.189568,186019.263244
2026,207582.623498,188711.475907
2027,209556.363666,190505.785151
2028,211609.323403,192372.112185
2029,213391.359213,193992.144739
2030,215304.798529,195731.635026
2031,217494.61455,197722.376864
2032,220094.944091,200086.31281
2033,222147.025005,201951.840913
2034,224473.379008,204066.708189
2035,226594.380527,205994.891388
2036,228578.41196,207798.556327
2037,230767.819457,209788.926779
2038,233504.532097,212276.847361
