year,Base case cost,Modeled diesel efficiency
2019,529049.252002,800948.038582
2020,566142.752519,827169.539256
2021,594380.434273,845516.073647
2022,616964.915824,858894.993377
2023,634155.839601,867538.313793
2024,649120.455429,874321.423935
2025,667065.077992,883973.500327
2026,691250.136249,899454.822353
2027,710396.072829,910507.587817
2028,727936.072506,920249.300411
2029,746869.757245,931403.399657
2030,762178.986792,939404.532028
2031,785155.558527,954514.639866
2032,812150.343694,973413.083532
2033,835272.814018,988923.481641
2034,861977.775391,1007819.83116
2035,879186.196443,1018209.07673
2036,905170.511362,1036699.56639
2037,925378.956021,1050059.53715
2038,952698.490956,1070001.58877
