year,annotation,Average Load
2003,,271.0
2004,,278.0
2005,,279.0
2006,,280.0
2007,,277.0
2008,,284.0
2009,,286.0
2010,,299.0
2011,,312.0
2012,,333.0
2013,,327.0
2014,,328.0
2015,,332.0
2016,start of forecast,335.0
2017,,338.0
2018,,341.0
2019,,344.0
2020,,346.0
2021,,350.0
2022,,353.0
2023,,356.0
2024,,358.0
2025,,361.0
2026,,366.0
2027,,369.0
2028,,372.0
2029,,375.0
2030,,378.0
2031,,381.0
2032,,385.0
2033,,388.0
2034,,392.0
2035,,395.0
2036,,398.0
2037,,402.0
2038,,406.0
2039,,409.0
2040,,413.0
