year,Base case cost,Modeled wind power
2019,529049.252002,691782.681065
2020,566142.752519,720736.537519
2021,594380.434273,742074.371725
2022,616964.915824,758315.876758
2023,634155.839601,770171.907218
2024,649120.455429,779900.086288
2025,667065.077992,792477.605181
2026,691250.136249,811162.639362
2027,710396.072829,825127.062603
2028,727936.072506,837801.910569
2029,746869.757245,851731.074707
2030,762178.986792,862574.812955
2031,785155.558527,880488.841579
2032,812150.343694,902275.709114
2033,835272.814018,920496.61028
2034,861977.775391,942150.855148
2035,879186.196443,955291.671524
2036,905170.511362,976375.188593
2037,925378.956021,992435.617626
2038,952698.490956,1015224.14424
