year,Base case diesel consumed,Modeled solar power (pv)
2016,57491.1118631,56813.9310333
2017,57491.1118631,56819.3484799
2018,57491.1118631,56824.722587
2019,57491.1118631,56830.0537012
2020,57491.1118631,56835.3421665
2021,57491.1118631,56840.5883241
2022,57491.1118631,56845.7925124
2023,57491.1118631,56850.9550672
2024,57491.1118631,56856.0763216
2025,57491.1118631,56861.1566059
2026,57491.1118631,56866.196248
2027,57491.1118631,56871.1955729
2028,57491.1118631,56876.1549032
2029,57491.1118631,56881.0745589
2030,57491.1118631,56885.9548573
2031,57491.1118631,56890.7961134
2032,57491.1118631,56895.5986394
2033,57491.1118631,56900.3627451
2034,57491.1118631,56905.0887381
2035,57491.1118631,56909.7769231
