year,Base case cost,Allakaket (unnamed stream nw) -- unnamed creek,Alatna/ allakaket (unnamed creek 2.5 mi s of) -- unnamed creek
2021,290905.026027,901307.398442,473257.815916
2022,296654.137214,905246.133215,477604.905534
2023,301253.426163,908397.121033,481082.577228
2024,304702.892875,910760.361897,483690.830999
2025,308727.270705,913517.476238,486733.793732
2026,313901.470773,917062.337533,490646.174388
2027,317925.848603,919819.451875,493689.13712
2028,321375.315315,922182.692738,496297.390891
2029,325974.604264,925333.680557,499775.062586
2030,328849.159857,927303.047943,501948.607395
2031,333448.448806,930454.035762,505426.279089
2032,338622.648874,933998.897057,509338.659745
2033,343796.848942,937543.758353,513251.040401
2034,348971.049009,941088.619648,517163.421057
2035,352420.515721,943451.860512,519771.674828
2036,357594.715789,946996.721808,523684.055484
2037,361044.182501,949359.962672,526292.309255
2038,366218.382568,952904.823967,530204.689911
2039,370242.760399,955661.938308,533247.652644
2040,375416.960466,959206.799604,537160.0333
2041,375416.960466,959206.799604,537160.0333
2042,375416.960466,959206.799604,537160.0333
2043,375416.960466,959206.799604,537160.0333
2044,375416.960466,959206.799604,537160.0333
2045,375416.960466,959206.799604,537160.0333
2046,375416.960466,959206.799604,537160.0333
2047,375416.960466,959206.799604,537160.0333
2048,375416.960466,959206.799604,537160.0333
2049,375416.960466,959206.799604,537160.0333
2050,375416.960466,959206.799604,537160.0333
