year,Base case cost,Modeled solar power (pv)
2016,196619.602572,200061.299296
2017,224215.336266,227354.21006
2018,244337.225418,247264.909043
2019,270208.225757,272862.168807
2020,282281.359248,284823.516185
2021,290905.026027,293376.424245
2022,296654.137214,299088.389378
2023,301253.426163,303664.148834
2024,304702.892875,307103.384699
2025,308727.270705,311111.618794
2026,313901.470773,316257.65874
2027,317925.848603,320266.949993
2028,321375.315315,323707.947544
2029,325974.604264,328286.929518
2030,328849.159857,331159.885727
2031,333448.448806,335739.820676
2032,338622.648874,340889.250646
2033,343796.848942,346039.307547
2034,348971.049009,351189.982932
2035,352420.515721,354633.975143
