year,Base case cost,Modeled residential energy efficiency
2017,603256.01709,594138.099919
2018,643319.941702,629614.082692
2019,694673.343476,675296.443726
2020,736436.180004,713742.81878
2021,761218.357746,735944.389169
2022,783421.311249,755897.420713
2023,813402.529296,784059.890782
2024,832191.013427,801055.662406
2025,851185.266296,818282.628097
2026,872526.106718,837678.754027
2027,905003.417572,868336.72624
2028,923647.45162,885387.357542
2029,944726.259821,904693.630493
2030,962608.537569,921129.340319
2031,985272.177023,941963.951303
