year,Base case cost,Modeled solar power (pv)
2016,189424.242447,198626.723799
2017,228246.166761,236531.867218
2018,258782.219887,266334.408761
2019,299102.991577,305770.858793
2020,320346.042868,326488.119095
2021,335855.85484,341586.152066
2022,348970.769375,354342.082974
2023,358720.682688,363799.094853
2024,368595.006258,373387.436066
2025,378593.740083,383106.956578
2026,390550.454374,394762.736513
2027,401420.059995,405352.398402
2028,410553.846324,414240.694296
2029,421999.589918,425419.254383
2030,430399.503841,433599.442252
2031,442713.897619,445645.148801
2032,456141.31887,458796.62022
2033,468400.912892,470799.988909
2034,481775.015462,483910.559256
2035,491710.803622,493641.618936
