year,Base case diesel consumed,Modeled solar power (pv)
2016,82718.0098022,81182.3159566
2017,83606.6544912,82083.2461963
2018,84569.3529043,83058.1318758
2019,85457.9975934,83958.866333
2020,86346.6422824,84859.5040721
2021,87235.2869714,85760.0458668
2022,88123.9316604,86660.4924847
2023,89012.5763494,87560.8446871
2024,89901.2210384,88461.1032294
2025,90789.8657274,89361.2688609
2026,91678.5104164,90261.3423248
2027,92493.1013814,91087.2706345
2028,93307.6923463,91913.1082454
2029,94196.3370353,92812.9096072
2030,95010.9280002,93638.5679916
2031,95825.5189652,94464.1378366
2032,96640.1099301,95289.6198505
2033,97380.6471709,96040.961012
2034,98121.1844118,96792.2157421
2035,98935.7753767,97617.4384564
