year,Base case diesel consumed,"Russian mission -- unnamed creek, 5"
2021,87235.2869714,15477.2283336
2022,88123.9316604,16365.8730226
2023,89012.5763494,17254.5177117
2024,89901.2210384,18143.1624007
2025,90789.8657274,19031.8070897
2026,91678.5104164,19920.4517787
2027,92493.1013814,20735.0427436
2028,93307.6923463,21549.6337086
2029,94196.3370353,22438.2783976
2030,95010.9280002,23252.8693625
2031,95825.5189652,24067.4603274
2032,96640.1099301,24882.0512923
2033,97380.6471709,25622.5885332
2034,98121.1844118,26363.125774
2035,98935.7753767,27177.716739
2036,99676.3126176,27918.2539798
2037,100416.849858,28658.7912206
2038,101157.387099,29399.3284615
2039,101823.870616,30065.8119783
2040,102564.407857,30806.3492191
2041,103230.891374,31472.8327359
2042,103897.37489,32139.3162526
2043,104563.858407,32805.7997694
2044,105230.341924,33472.2832861
2045,105822.771717,34064.7130788
2046,106415.201509,34657.1428715
2047,107081.685026,35323.6263882
2048,107600.061095,35842.0024568
2049,108192.490887,36434.4322495
2050,108784.92068,37026.8620422
