year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,83606.65,2390.35,103650.11,54438.96
2018,84569.35,2397.86,103650.11,55464.42
2019,85458.0,2405.33,103650.11,56489.87
2020,86346.64,2412.72,103650.11,58540.78
2021,87235.29,2420.06,103650.11,59566.24
2022,88123.93,2427.4,103650.11,60591.69
2023,89012.58,2434.76,103650.11,62642.6
2024,89901.22,2442.12,103650.11,63668.05
2025,90789.87,2449.4,103650.11,64693.51
2026,91678.51,2456.53,103650.11,65718.96
2027,92493.1,2463.55,103650.11,67769.87
2028,93307.69,2470.45,103650.11,68795.33
2029,94196.34,2477.41,103650.11,69820.78
2030,95010.93,2484.25,103650.11,70846.23
2031,95825.52,2490.97,103650.11,71871.69
