year,Base case diesel consumed,Modeled non-residential ashp
2017,14303.7148335,-16791.3173821
2018,14303.7148335,-16791.3173821
2019,14303.7148335,-16791.3173821
2020,14303.7148335,-16791.3173821
2021,14303.7148335,-16791.3173821
2022,14303.7148335,-16791.3173821
2023,14303.7148335,-16791.3173821
2024,14303.7148335,-16791.3173821
2025,14303.7148335,-16791.3173821
2026,14303.7148335,-16791.3173821
2027,14303.7148335,-16791.3173821
2028,14303.7148335,-16791.3173821
2029,14303.7148335,-16791.3173821
2030,14303.7148335,-16791.3173821
2031,14303.7148335,-16791.3173821
