year,Base case diesel consumed,Modeled wind power
2019,85457.9975934,69742.9827517
2020,86346.6422824,70631.6274407
2021,87235.2869714,71520.2721297
2022,88123.9316604,72408.9168187
2023,89012.5763494,73297.5615077
2024,89901.2210384,74186.2061968
2025,90789.8657274,75074.8508858
2026,91678.5104164,75963.4955748
2027,92493.1013814,76778.0865397
2028,93307.6923463,77592.6775046
2029,94196.3370353,78481.3221936
2030,95010.9280002,79295.9131586
2031,95825.5189652,80110.5041235
2032,96640.1099301,80925.0950884
2033,97380.6471709,81665.6323293
2034,98121.1844118,82406.1695701
2035,98935.7753767,83220.760535
2036,99676.3126176,83961.2977759
2037,100416.849858,84701.8350167
2038,101157.387099,85442.3722576
