year,Base case diesel consumed,Modeled transmission and interties
2021,174470.573943,87235.2869714
2022,176247.863321,88123.9316604
2023,178025.152699,89012.5763494
2024,179802.442077,89901.2210384
2025,181579.731455,90789.8657274
2026,183357.020833,91678.5104164
2027,184986.202763,92493.1013814
2028,186615.384693,93307.6923463
2029,188392.674071,94196.3370353
2030,190021.856,95010.9280002
2031,191651.03793,95825.5189652
2032,193280.21986,96640.1099301
2033,194761.294342,97380.6471709
2034,196242.368824,98121.1844118
2035,197871.550753,98935.7753767
2036,199352.625235,99676.3126176
2037,200833.699717,100416.849858
2038,202314.774198,101157.387099
2039,203647.741232,101823.870616
2040,205128.815714,102564.407857
