year,Base case cost,"Russian mission -- unnamed creek, 5"
2021,335855.85484,1308570.19324
2022,348970.769375,1290846.19175
2023,358720.682688,1272899.59411
2024,368595.006258,1255620.46321
2025,378593.740083,1238996.07254
2026,390550.454374,1223554.40704
2027,401420.059995,1208177.97275
2028,410553.846324,1192852.78258
2029,421999.589918,1179028.72695
2030,430399.503841,1164569.60264
2031,442713.897619,1151898.63415
2032,456141.31887,1140143.32165
2033,468400.912892,1128305.43805
2034,481775.015462,1117363.88256
2035,491710.803622,1105988.68115
2036,505358.904971,1096148.03183
2037,515138.439774,1085424.10408
2038,529053.134529,1076638.64885
2039,539666.514265,1066872.10567
2040,554873.446506,1059484.37889
2041,558479.122331,1047970.62105
2042,562084.798157,1036811.22458
2043,565690.473983,1025997.88527
2044,569296.149808,1015522.4915
2045,572501.194987,1004976.49241
2046,575706.240165,994752.782842
2047,579311.915991,985244.440867
2048,582116.330522,975242.197052
2049,585321.3757,965940.739748
2050,588526.420878,956932.403951
