year,Base case cost,Modeled wind power
2019,299102.991577,489040.563136
2020,320346.042868,502701.077079
2021,335855.85484,511676.442478
2022,348970.769375,518767.40643
2023,358720.682688,523135.047541
2024,368595.006258,527731.303442
2025,378593.740083,532553.732105
2026,390550.454374,539166.032582
2027,401420.059995,544922.015717
2028,410553.846324,549304.439273
2029,421999.589918,555823.886577
2030,430399.503841,559789.116588
2031,442713.897619,567222.119041
2032,456141.31887,575720.601995
2033,468400.912892,583269.176667
2034,481775.015462,591880.719984
2035,491710.803622,597669.197654
2036,505358.904971,606713.411088
2037,515138.439774,612500.58793
2038,529053.134529,621962.715614
