year,Base case cost,"Port lions (unnamed stream, site #3) -- unnamed creek, 3","Port lions (unnamed stream, site #2) -- unnamed creek, 2","Uganik bay (one mile, 1/2 mile creek, ne arm uganik bay) -- 0",Cape chiniak (west fork twin creek),"Port lions (unnamed stream, site #1) -- unnamed creek, 1",Port lions (mennonite creek),"Port lions (crescent lake, port lions river)","Kodiak (unnamed stream, site #5) -- unnamed creek","Kodiak (unnamed stream, site #4) -- unnamed creek",Kodiak (leanne lake),Kodiak (virginia creek),"Monashka bay, upper -- monashka creek","Monashka bay, lower -- monashka creek",Cape chiniak (myrtle creek),"Pillar creek, 1"
2021,0.0,252482.697202,746505.766467,723271.006822,346920.382687,144507.862158,167384.373065,573163.958796,783417.4481,658553.882496,3742249.1183,435902.839941,177729.092845,147892.020246,660455.354155,108928.563068
2022,0.0,247137.265103,730896.057217,708814.350748,339839.821923,141526.765282,162895.006689,560766.258184,765637.413441,643972.814623,3662828.02569,426970.920064,174157.85455,144912.131928,646785.207672,106689.20178
2023,0.0,241959.87248,715754.203918,694711.792516,332950.865348,138630.197034,158657.627732,548789.123098,748556.28737,629924.975937,3585926.1482,418284.989983,170676.425138,142008.19273,633508.140297,104512.403703
2024,0.0,236931.960353,701034.360727,680949.811333,326240.249906,135811.163512,154616.142368,537178.244422,732061.193545,616332.389675,3511259.5101,409826.752408,167280.611065,139176.333942,620590.084293,102393.256235
2025,0.0,232003.583517,686615.840027,667503.838611,319675.930682,133051.92461,150606.539047,525783.837209,715831.881204,602976.393113,3438061.23441,401551.063585,163961.77119,136408.23165,607943.674357,100319.461208
2026,0.0,227140.587875,672415.663175,654355.10311,313235.386095,130340.168748,146518.838088,514504.079127,699652.10101,589708.92754,3365807.34888,393426.369659,160713.555525,133697.845658,595508.447656,98282.454949
2027,0.0,222418.966887,658613.667237,641524.326187,306962.230696,127701.363333,142620.992169,503571.991417,684032.36247,576875.122947,3295668.42447,385515.582421,157545.383948,131054.898369,583411.248519,96299.6491716
2028,0.0,217836.144254,645202.278516,629004.318954,300852.983597,125134.05133,138911.08204,492981.666832,668964.404924,564468.116868,3227606.23282,377814.320288,154455.485732,128477.914497,571645.407606,94369.9473122
2029,0.0,213310.972481,631986.508352,616759.978287,294857.066545,122609.850457,135117.31546,482488.26635,653921.192964,552129.050573,3160373.72503,370250.90587,151430.898566,125954.220246,560070.738208,92473.7439212
2030,0.0,208966.805112,619259.281792,604829.380621,289046.646197,120170.506203,131669.730834,472468.668681,639725.197907,540414.830807,3095869.98977,362928.998124,148487.906678,123500.381597,548894.757778,90639.648563
2031,0.0,204628.253385,606600.842043,593144.048978,283314.687127,117755.350961,127972.721225,462391.417941,625226.99625,528544.320955,3031398.04879,355696.2398,145600.148208,121090.311834,537817.173086,88825.8639215
2032,0.0,200387.332034,594229.411767,581731.144307,277714.638196,115395.410831,124348.442641,452538.025729,611041.836918,516933.868102,2968374.79305,348629.52403,142779.492377,118736.148881,526992.326761,87053.6341719
2033,0.0,196241.752806,582138.264065,570584.281491,272243.407707,113089.391687,120795.190418,442903.245271,597162.382857,505577.377059,2906766.26843,341724.959126,140024.366442,116436.582399,516414.295146,85321.9853549
2034,0.0,192173.554868,570283.311497,559691.6088,266888.540771,110830.637911,117257.316327,433434.138949,583477.675624,494398.464336,2846297.37476,334965.26508,137330.987968,114188.086201,506050.558941,83626.2594633
2035,0.0,188274.91383,558883.249668,549080.736093,261703.703613,108650.266588,114057.096222,424412.587243,570603.479986,483813.905549,2788387.39019,328427.608634,134711.336752,112002.890336,496055.877247,81987.769148
2036,0.0,184386.435558,547556.629054,538689.551637,256591.65912,106493.153736,110653.106645,415355.563533,557495.026428,473113.710205,2730585.26114,321973.568566,132141.481967,109857.308351,486157.386157,80368.5382133
2037,0.0,180663.302016,536672.516424,528568.41356,251643.953266,104412.041134,107583.633144,406736.436273,545183.578548,462996.648882,2675279.53904,315734.402348,129642.45936,107772.614652,476617.045418,78804.750008
2038,0.0,176961.944061,525887.270836,518661.102019,246772.918052,102357.252485,104361.309365,398120.219147,532728.476902,452823.425353,2620262.5778,309585.336281,127192.652542,105727.425909,467188.981308,77262.1772545
2039,0.0,173359.00857,515382.650235,508990.161658,242023.050868,100354.624739,101254.574759,389741.431624,520642.326106,442940.910104,2566714.64407,303590.393435,124801.930491,103731.838696,458001.72967,75758.5097828
