year,Base case diesel consumed,Buckland (hunter creek)
2021,131769.124364,98216.0407515
2022,132495.805955,98942.7223421
2023,133464.714742,99911.6311294
2024,134433.62353,100880.539917
2025,135160.30512,101607.221507
2026,135483.274716,101930.191103
2027,135725.501913,102172.4183
2028,135564.017115,102010.933502
2029,135725.501913,102172.4183
2030,134998.820322,101445.736709
2031,135160.30512,101607.221507
2032,135321.789918,101768.706305
2033,135483.274716,101930.191103
2034,135241.047519,101687.963906
2035,135079.562721,101526.479108
2036,134675.850727,101122.767114
2037,134191.396333,100638.31272
2038,133949.169136,100396.085523
2039,133545.457141,99992.3735284
2040,133303.229944,99750.1463315
2041,132899.51795,99346.4343368
2042,132495.805955,98942.7223421
2043,132092.09396,98539.0103473
2044,131688.381966,98135.2983526
2045,131042.442774,97489.359161
2046,131042.442774,97489.359161
2047,130638.730779,97085.6471663
2048,130557.98838,97004.9047673
2049,130154.276386,96601.1927726
2050,130073.533987,96520.4503737
