year,Base case cost,Modeled solar power
2020,495004.843463,504045.480519
2021,514230.761888,522673.215492
2022,530323.142563,538246.826782
2023,541994.90112,549477.374821
2024,552075.021454,559170.257103
2025,562270.688602,568966.622964
2026,575854.708657,582118.167809
2027,588209.035143,594071.392637
2028,597966.23657,603479.21404
2029,611853.280055,616962.852477
2030,620408.335497,625206.956409
2031,634133.154318,638546.504877
2032,648317.099548,652354.285078
2033,662611.235118,666281.167257
2034,678402.887994,681694.206324
2035,689119.663618,692120.914018
2036,703352.582332,706011.875115
2037,715257.730147,717622.454927
2038,730864.967249,732903.608604
2039,744781.853951,746521.54382
