year,Base case diesel consumed,Modeled solar power
2020,129244.084455,126996.808675
2021,129856.253002,127626.955428
2022,130621.463686,128410.000492
2023,131233.632232,129039.860745
2024,132075.363984,129899.142668
2025,132611.011463,130452.199917
2026,133299.701078,131158.160025
2027,133988.390693,131863.981969
2028,134677.080308,132569.666854
2029,135365.769924,133275.215777
2030,136054.459539,133980.629825
2031,136666.628086,134609.38901
2032,137355.317701,135314.536537
2033,138044.007316,136019.552402
2034,138732.696931,136724.437656
2035,139497.907615,137505.714414
2036,140110.076162,138133.820507
2037,140798.765777,138838.320167
2038,141640.497529,139695.735484
2039,142405.708213,140476.504264
