year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,3178.81295198,2066.22841879
2018,3124.71113656,2031.06223876
2019,3068.5131413,1994.53354185
2020,2993.67858916,1945.89108296
2021,2937.9207384,1909.64847996
2022,2867.39041321,1863.80376859
2023,2811.72711694,1827.62262601
2024,2734.87296079,1777.66742451
2025,2681.78327794,1743.15913066
2026,2621.98688504,1704.29147527
2027,2560.77883354,1664.5062418
2028,2498.40616371,1623.96400641
2029,2431.37968168,1580.39679309
2030,2368.50427495,1539.52777871
2031,2310.02964728,1501.51927073
