year,population
2003,637.0
2004,647.0
2005,669.0
2006,645.0
2007,637.0
2008,664.0
2009,640.0
2010,639.0
2011,638.0
2012,644.0
2013,650.0
2014,654.0
2015,661.0
2016,668.0
2017,676.0
2018,684.0
2019,693.0
2020,704.0
2021,712.0
2022,723.0
2023,731.0
2024,743.0
2025,751.0
2026,760.0
2027,769.0
2028,778.0
2029,788.0
2030,798.0
2031,807.0
2032,816.0
2033,825.0
2034,835.0
2035,845.0
2036,854.0
2037,863.0
2038,875.0
2039,885.0
2040,895.0
