year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,1814147
2004,,0,0,0,0,0,1740460
2005,,0,0,0,0,0,1836857
2006,,0,0,0,0,0,1637263
2007,,0,0,0,0,0,1539794
2008,,0,0,0,0,0,1618498
2009,,0,0,0,0,0,1631088
2010,,0,0,0,0,0,1651430
2011,,0,0,0,0,0,1606449
2012,,0,0,0,0,0,1509907
2013,,0,0,0,0,0,1710645
2014,start of forecast,0,0,0,0,0,1641000
2015,,0,0,0,0,0,1648000
2016,,0,0,0,0,0,1655000
2017,,0,0,0,0,0,1663000
2018,,0,0,0,0,0,1670000
2019,,0,0,0,0,0,1678000
2020,,0,0,0,0,0,1689000
2021,,0,0,0,0,0,1697000
2022,,0,0,0,0,0,1707000
2023,,0,0,0,0,0,1715000
2024,,0,0,0,0,0,1726000
2025,,0,0,0,0,0,1733000
2026,,0,0,0,0,0,1742000
2027,,0,0,0,0,0,1751000
2028,,0,0,0,0,0,1760000
2029,,0,0,0,0,0,1769000
2030,,0,0,0,0,0,1778000
2031,,0,0,0,0,0,1786000
2032,,0,0,0,0,0,1795000
2033,,0,0,0,0,0,1804000
2034,,0,0,0,0,0,1813000
2035,,0,0,0,0,0,1823000
2036,,0,0,0,0,0,1831000
2037,,0,0,0,0,0,1840000
2038,,0,0,0,0,0,1851000
2039,,0,0,0,0,0,1861000
2040,,0,0,0,0,0,1870000
