year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,1264.87,60963.26,27813.07
2018,,1267.18,60963.26,28885.79
2019,,1272.05,60963.26,28885.79
2020,,1277.86,60963.26,28885.79
2021,,1283.98,60963.26,28885.79
2022,,1291.32,60963.26,28885.79
2023,,1298.71,60963.26,28885.79
2024,,1307.1,60963.26,28885.79
2025,,1315.84,60963.26,29958.52
2026,,1325.16,60963.26,29958.52
2027,,1334.16,60963.26,29958.52
2028,,1342.92,60963.26,29958.52
2029,,1357.23,60963.26,31031.25
2030,,1370.37,60963.26,31031.25
2031,,1381.66,60963.26,31031.25
2032,,1388.56,60963.26,31031.25
2033,,1394.19,60963.26,31031.25
2034,,1400.58,60963.26,32103.98
2035,,1407.37,60963.26,32103.98
2036,,1415.9,60963.26,32103.98
2037,,1425.88,60963.26,32103.98
2038,,1436.25,60963.26,32103.98
2039,,1444.46,60963.26,33176.7
2040,,1450.36,60963.26,33176.7
