year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,90041.0,72566.2558964
2018,91116.0,73641.2558964
2019,91121.0,73646.2558964
2020,91127.0,73652.2558964
2021,91133.0,73658.2558964
2022,91140.0,73665.2558964
2023,91148.0,73673.2558964
2024,91156.0,73681.2558964
2025,92238.0,74763.2558964
2026,92247.0,74772.2558964
2027,92256.0,74781.2558964
2028,92265.0,74790.2558964
2029,93351.0,75876.2558964
2030,93364.0,75889.2558964
2031,93376.0,75901.2558964
2032,93383.0,75908.2558964
2033,93388.0,75913.2558964
2034,94468.0,76993.2558964
2035,94474.0,76999.2558964
2036,94483.0,77008.2558964
