year,Base case cost,Modeled wind power
2019,579892.294945,731018.89306
2020,621644.540181,745746.930106
2021,649479.370338,752918.191439
2022,672675.062136,757699.318608
2023,686592.477215,757500.061658
2024,698190.323114,756194.445905
2025,714427.307372,757656.601642
2026,732983.86081,760589.427208
2027,746901.275889,761110.253789
2028,760818.690968,761800.678186
2029,777055.675226,763949.559111
2030,786333.951945,762381.680409
2031,804890.505383,766143.086305
2032,825766.628001,771351.574181
2033,844323.18144,775417.861573
2034,865199.304058,780924.085289
2035,876797.149957,781402.629596
2036,897673.272575,787192.796291
2037,909271.118474,787948.628719
2038,930147.241092,794009.584611
