year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,231956.92,13798.28,835217.44,832598.86
2018,231956.92,13895.39,835217.44,843011.65
2019,231956.92,13930.43,835217.44,846482.58
2020,231956.92,13964.82,835217.44,849953.51
2021,231956.92,14010.75,835217.44,854812.81
2022,231956.92,14016.28,835217.44,855507.0
2023,231956.92,14005.75,835217.44,854118.63
2024,231956.92,13963.84,835217.44,849953.51
2025,231956.92,13927.85,835217.44,845788.39
2026,231956.92,13901.4,835217.44,843011.65
2027,231956.92,13904.45,835217.44,843705.84
2028,231956.92,13910.35,835217.44,844400.02
2029,231956.92,13693.72,835217.44,821491.89
2030,231956.92,13527.65,835217.44,804137.24
2031,231956.92,13412.39,835217.44,792336.08
2032,231956.92,,,797195.38
2033,231956.92,,,806913.98
2034,231956.92,,,815244.21
2035,231956.92,,,818020.96
2036,231956.92,,,812467.47
