year,Base case diesel consumed,Goodro lake (goodro creek),Chomondeley sound (chomly creek),Lake 1013 project,Hetta lake,Klawak lake (klawak creek),Neck lake hydropower project: phases ii-iii -- neck lake outlet,Harris river (kasaan bay),Lake josephine (portage creek),"Thorne bay, thorne river",Karheen lake (karheen passage),Wolf lake,Coffman cove -- trumpeter creek,Red lake (red river),Beaver creek,Navy lake (navy creek),Whale pass work center (neck creek) -- neck island lake,Waterfall lake,Marys lake (brown and johnson creeks) -- lake mary,Kasaan -- linkum creek,"Meyers chuck (meyers lake; 55.44, 132.14)","Meyers chuck (cannery creek; 155.46, 132.11)"
2021,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2022,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2023,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2024,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2025,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2026,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2027,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2028,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2029,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2030,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2031,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2032,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2033,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2034,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2035,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2036,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2037,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2038,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2039,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2040,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2041,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2042,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2043,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2044,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2045,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2046,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2047,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2048,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2049,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2050,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2051,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2052,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2053,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2054,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2055,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2056,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2057,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2058,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2059,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2060,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2061,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2062,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2063,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2064,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2065,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2066,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2067,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2068,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2069,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
2070,231956.917978,220685.72348,222939.962382,110995.506609,29075.4169809,180109.423287,214220.640651,198143.334484,0.0,0.0,213472.159,0.0,143275.531344,0.0,0.0,0.0,203778.93173,0.0,0.0,228124.711848,224330.318727,206239.315854
