year,Base case cost,Goodro lake (goodro creek),Chomondeley sound (chomly creek),Lake 1013 project,Hetta lake,Klawak lake (klawak creek),Neck lake hydropower project: phases ii-iii -- neck lake outlet,Harris river (kasaan bay),Lake josephine (portage creek),"Thorne bay, thorne river",Karheen lake (karheen passage),Wolf lake,Coffman cove -- trumpeter creek,Red lake (red river),Beaver creek,Navy lake (navy creek),Whale pass work center (neck creek) -- neck island lake,Waterfall lake,Marys lake (brown and johnson creeks) -- lake mary,Kasaan -- linkum creek,"Meyers chuck (meyers lake; 55.44, 132.14)","Meyers chuck (cannery creek; 155.46, 132.11)"
2021,649479.370338,725904.757634,1308316.77188,809391.317081,1630482.60782,820619.747385,787809.527677,771075.989867,3146228.96665,11847058.1186,910665.239758,342018.235573,637523.550089,34105554.2563,6277752.69992,2029437.48559,718111.325062,2430698.01233,2727679.79532,666771.609612,1452899.27342,1354933.72003
2022,672675.062136,745684.710446,1316933.93282,809015.869364,1600016.75975,831678.767211,805272.146473,786158.59817,3078880.8065,11575044.9667,925566.702324,329392.162354,645998.869307,33378991.7302,6144350.08029,1986031.97559,735194.176641,2378977.39444,2669167.19556,688978.227312,1458885.41259,1359810.17314
2023,686592.477215,756711.646355,1316970.6641,804692.475355,1569543.98908,835791.899356,814291.426634,793488.690445,3013982.78531,11317666.1629,932114.417797,318129.804153,649043.766466,32680789.6773,6015860.52081,1944100.77754,744255.029774,2329009.06391,2612773.79539,702081.118885,1456297.86867,1356853.53199
2024,698190.323114,765588.361131,1315094.43668,799567.419102,1539620.88819,838282.62144,821265.818586,798958.411248,2950804.73951,11068204.5178,936681.919431,307375.094312,650823.323756,32001537.7994,5890790.1283,1903256.63549,751364.145506,2280335.12213,2557872.77768,712918.076503,1451846.33935,1352204.63471
2025,714427.307372,778917.67931,1317972.89706,796787.124789,1510804.46639,844474.497334,832593.822623,808459.963931,2888617.34297,10819946.0626,945642.822315,296272.092242,655502.693136,31331834.7665,5767646.66627,1863112.83675,762591.825534,2232498.31799,2503838.0532,728326.8999,1452240.73361,1352004.52057
2026,732983.86081,794497.089958,1323373.91689,795295.137017,1482886.30059,852588.299029,846139.88406,820026.072075,2827618.00628,10574953.0585,956868.122308,285099.231852,661689.683312,30674324.9546,5646837.14014,1823768.63783,775912.417481,2185615.73295,2450838.59777,746027.909951,1455232.88432,1354195.19937
2027,746901.275889,805721.427823,1324615.56223,791933.625951,1455275.44591,857293.442799,855501.443976,827759.746797,2768467.89896,10339677.3838,963977.543819,274702.193094,665213.463905,30037679.775,5529718.94895,1785566.5332,785252.310894,2140091.91669,2399441.25917,759182.691631,1454095.68487,1352619.25998
2028,760818.690968,816992.258833,1326140.99525,788798.662603,1428338.64471,862138.020255,864943.619416,835588.475375,2710671.57048,10109607.5542,971219.261284,264508.958913,668850.033638,29415532.7933,5415279.0021,1748242.72422,794657.925339,2095614.89576,2349220.61921,772349.694741,1453300.07815,1351368.51072
2029,777055.675226,830509.834183,1330168.55119,786935.691321,1402251.55861,868894.482415,876598.046855,845474.91426,2653965.81161,9882428.28492,980715.848774,254231.189747,673986.101835,28804534.9677,5302980.12162,1711655.26599,806151.718906,2052016.7106,2299950.51019,787808.004398,1455077.62863,1352485.13634
2030,786333.951945,837467.726192,1327791.78846,782136.510475,1376232.92037,870456.761833,881928.777499,849557.350683,2599245.55621,9666793.51106,983961.579171,244998.47233,675061.675612,28216391.4135,5194658.6323,1676269.49482,811636.19361,2009847.10252,2252398.35425,796439.854642,1450462.23553,1347762.46804
