year,Base case cost,Goodro lake (goodro creek),Chomondeley sound (chomly creek),Lake 1013 project,Hetta lake,Klawak lake (klawak creek),Neck lake hydropower project: phases ii-iii -- neck lake outlet,Harris river (kasaan bay),Lake josephine (portage creek),"Thorne bay, thorne river",Karheen lake (karheen passage),Wolf lake,Coffman cove -- trumpeter creek,Red lake (red river),Beaver creek,Navy lake (navy creek),Whale pass work center (neck creek) -- neck island lake,Waterfall lake,Marys lake (brown and johnson creeks) -- lake mary,Kasaan -- linkum creek,"Meyers chuck (meyers lake; 55.44, 132.14)","Meyers chuck (cannery creek; 155.46, 132.11)"
2031,804890.505383,853274.281856,1334579.26983,781751.335014,1351607.88277,879251.775061,895868.690859,861587.850075,2544860.1863,9447233.97126,995833.218891,234821.311281,681799.703817,27629713.4068,5086933.82766,1641216.26137,825277.869551,1968078.6981,2205147.72978,814200.573216,1455123.25783,1351541.88247
2032,825766.628001,871324.463673,1343849.84115,782622.957596,1327787.35309,889949.321505,912015.449525,875669.684737,2491474.59124,9230215.84814,1009950.85586,224545.946554,690029.665985,27053212.1962,4981170.46585,1606840.47344,841003.31686,1927118.92336,2158768.71785,834251.778676,1462334.5275,1357666.86204
2033,844323.18144,887214.598801,1351147.47993,782645.040817,1304374.04312,898994.990883,926100.283223,887871.059865,2439522.8728,9020014.7145,1022060.32042,214735.159458,696970.452163,26492597.206,4878260.26832,1573366.12823,854763.137713,1887232.31447,2113633.41258,852034.467383,1467609.62179,1362030.86192
2034,865199.304058,905346.401196,1360916.2519,783914.376997,1281736.84132,909937.318749,942388.565673,902119.765379,2388513.89074,8812135.66085,1036410.20824,204817.581832,705398.420185,25941548.1628,4777198.67177,1540532.22351,870603.960926,1848110.23088,2069320.14227,872107.128053,1475420.5712,1368726.72579
2035,876797.149957,914712.221274,1362025.45513,781172.590156,1258904.74552,913894.875452,950211.02846,908589.447464,2339577.52313,8617439.21577,1042369.45595,196206.884811,708364.512956,25414816.5207,4680303.26086,1508927.7029,878404.458253,1810448.51776,2026797.92888,883072.65444,1474562.57852,1367498.81055
2036,897673.272575,932921.863121,1372269.34827,782821.215586,1237396.05316,925070.645076,966634.278509,922997.293428,2290835.05589,8418275.8581,1056940.83544,186630.51956,716981.314079,24888040.5561,4583725.61715,1477564.25263,894355.312504,1773078.99304,1984454.70333,903165.776394,1482945.42711,1374739.11212
2037,909271.118474,942363.698292,1373842.53704,780449.828422,1215666.0174,929256.172258,974588.545599,929622.386115,2244112.08177,8232090.83529,1063116.38363,178353.037765,720131.814185,24385013.0937,4491209.06665,1447395.72275,902263.262022,1737128.76328,1943856.36187,914151.284503,1482645.92974,1374042.87435
2038,930147.241092,960647.573613,1384539.54097,782460.172213,1195233.55533,940654.569257,991140.510761,944182.000214,2197531.13117,8041239.41175,1077898.99401,169102.077941,728928.700558,23881385.7372,4398907.65294,1417434.60689,918319.050031,1701430.60868,1903391.91712,934263.919855,1491574.18381,1381802.39208
2039,946384.22535,974564.58419,1391005.19391,782543.533873,1174937.44558,948608.944051,1003487.52805,954885.072575,2152456.05377,7858784.96977,1088532.17195,160575.24921,735033.770868,23394945.8647,4309618.2965,1388392.82499,930377.470816,1666825.7263,1864231.14552,949827.227138,1496286.45023,1385712.81433
2040,969579.917148,995120.594969,1404359.30461,785949.593348,1155722.81679,961995.374126,1022295.77145,971554.308373,2107705.00671,7673667.15438,1105641.90262,151351.057397,745391.752798,22910385.5084,4220920.60825,1359647.72003,948557.329917,1632578.08972,1825359.85753,972237.84348,1507974.4142,1396017.30176
2041,969579.917148,993697.354685,1395672.0441,779014.552921,1135088.8059,957727.053756,1019827.98267,968644.535824,2066263.35794,7514306.7087,1101592.08126,145112.22619,741939.070744,22466569.1289,4138934.64584,1332761.4822,946545.488835,1600533.76834,1789338.95785,971863.723122,1497517.63506,1386062.6367
2042,969579.917148,992307.471593,1387188.39125,772242.052499,1114938.40463,953558.772141,1017418.03268,965802.961067,2025792.99777,7358681.27336,1097637.17759,139019.617585,738567.310923,22033154.6955,4058870.22937,1306505.39056,944580.800276,1569240.48572,1754162.29799,971498.37121,1487305.93668,1376341.2841
2043,969579.917148,990950.163893,1378903.57405,765628.282584,1095260.27848,949488.184644,1015064.5659,963027.98573,1986271.16185,7206703.30981,1093774.96699,133069.804519,735274.576737,21609898.4146,3980682.32299,1280864.67616,942662.159114,1538680.63954,1719810.09124,971141.582234,1477333.57503,1366847.77574
2044,969579.917148,989624.668086,1370812.93222,759169.522877,1076043.35833,945513.001527,1012766.2585,960318.048867,1947675.6188,7058287.3292,1090003.27694,127259.440175,732059.015996,21196562.2013,3904326.94538,1255824.91592,940788.486097,1508837.03964,1686263.0142,970793.155499,1467594.94056,1357576.77145
2045,969579.917148,988330.238593,1362911.91484,752862.140374,1057276.83483,941630.986778,1010521.81768,957671.62616,1909984.65894,6913349.84871,1086319.98588,121585.256268,728918.819971,20792913.557,3829761.14722,1231372.02515,938958.727298,1479692.89922,1653502.19691,970452.895017,1458084.55538,1348523.05636
2046,969579.917148,987066.147289,1355196.07755,746702.587141,1038950.15169,937839.956746,1008329.98094,955087.228981,1873177.0809,6771809.34022,1082723.02196,116044.061038,725852.222288,20398725.4273,3756942.98485,1207492.24898,937171.853469,1451231.82456,1621509.21124,970120.609389,1448797.06983,1339681.5377
2047,969579.917148,985831.683128,1347661.08021,740687.398452,1021053.00023,934137.778988,1006189.51538,952563.403618,1837232.18056,6633586.18775,1079210.36189,110632.737585,722857.497995,20013776.0829,3685831.49834,1184172.15512,935426.859499,1423437.80641,1590266.06124,969796.111707,1439727.25975,1331047.24215
2048,969579.917148,984626.151721,1340302.68437,734813.190748,1003575.31326,930522.371023,1004099.21698,950098.730411,1802129.73883,6498602.64041,1075780.02978,105348.242025,719932.962552,19637848.9887,3616386.6873,1161398.62595,933722.763826,1396295.21055,1559755.17257,969479.219439,1430870.02335,1322615.31291
2049,969579.917148,983448.874945,1333116.75086,729076.659732,986507.259421,926991.699147,1002057.90993,947691.822961,1767850.01024,6366782.76872,1072430.09606,100187.601782,717076.970882,19270732.6823,3548569.48838,1139158.85117,932058.607879,1369788.76904,1529959.38257,969169.754331,1422220.37834,1314381.00693
2050,969579.917148,982299.190602,1326099.23772,723474.578701,969839.238206,923543.777418,1000064.44603,945341.327419,1734373.71303,6238052.42617,1069158.67643,95147.9140789,714287.916536,18912220.6668,3482341.75552,1117440.32126,930433.455598,1343903.57243,1500861.9316,968867.542313,1413773.45945,1306339.69256
2051,969579.917148,981176.451987,1319246.19756,718003.796452,953561.873761,920176.66636,998117.703944,943045.921621,1701682.01658,6112339.20119,1065963.9307,90226.3440633,711564.230655,18562111.2772,3417666.23523,1096230.81943,928846.392827,1318625.06015,1472446.45218,968572.41339,1405524.51522,1298486.8465
2052,969579.917148,980080.027558,1312553.77551,712661.235659,937666.010036,916888.471964,996216.588622,940804.314394,1669756.53175,5989572.37985,1062844.06182,85420.1233421,708904.381161,18220207.5762,3354506.54741,1075518.41528,927296.526838,1293939.01299,1444696.96054,968284.20155,1397468.90563,1290818.05152
2053,969579.917148,979009.30058,1306018.20714,707443.891154,922142.705675,913677.344637,994360.030698,938615.244845,1638579.30058,5869682.90634,1059797.31488,80726.5484366,706306.871898,17886317.2445,3292827.16501,1055291.45818,925782.985838,1269831.54514,1417597.84772,968002.744677,1389602.09941,1283328.99394
2054,969579.917148,977963.668757,1299635.81609,702348.828117,906983.228631,910541.47808,992546.985834,936477.481595,1608132.78551,5752603.34136,1056821.97604,76142.9791539,703770.241737,17560252.4646,3232593.39262,1035538.57022,924304.918444,1246289.09588,1391133.87012,967727.884447,1381919.6714,1276015.46109
2055,969579.917148,976942.543933,1293403.01236,697373.180637,892179.051879,907479.108405,990776.434216,934389.822178,1578399.86074,5638267.82906,1053916.37172,71666.8372912,701293.063854,17241829.829,3173771.34947,1016248.64063,922861.493258,1223298.42284,1365290.14209,967459.466254,1374417.30032,1268873.33919
2056,969579.917148,975945.351723,1287316.28997,692514.149899,877721.848033,904488.513023,989047.379902,932351.092281,1549363.80142,5526612.05544,1051078.86751,67295.6050073,698873.94483,16930870.2243,3116327.948,997410.818789,921451.898352,1200846.59373,1340052.12645,967197.339114,1367090.76606,1261898.61078
2057,969579.917148,974971.531206,1281372.22514,687769.0027,863603.484921,901568.009723,987358.850301,930360.145118,1521008.27477,5417573.21416,1048307.8673,63026.8234856,696511.523911,16627198.7357,3060230.87633,979014.508419,920075.340828,1178920.97938,1315405.62684,966941.355578,1359935.94747,1255087.35258
2058,969579.917148,974020.534605,1275567.47431,683135.069869,849816.020888,898715.955708,985709.895606,928415.860772,1493317.33067,5311089.97028,1045601.8124,58858.0915139,694204.472223,16330644.5464,3005448.57955,961049.361499,918731.046366,1157509.24654,1291336.77946,966691.371655,1352948.8199,1248435.73321
2059,969579.917148,973091.826993,1269898.77237,678609.744876,836351.700653,895930.746732,984099.5883,926517.145605,1466275.39329,5207102.42828,1042959.18068,54787.064231,691951.492077,16041040.8482,2951950.24329,943505.272854,917418.258816,1136599.35136,1267832.04589,966447.246733,1346125.4532,1241940.01122
2060,969579.917148,972184.88596,1264362.93059,674190.482159,823202.950335,893210.816072,982527.022561,924662.931563,1439867.25114,5105552.09361,1040378.48562,50811.4516233,689751.316139,15758224.7349,2899705.77394,926372.373671,916136.239716,1116179.53171,1244878.20435,966208.843487,1339462.00911,1235596.53268
2061,969579.917148,971299.201359,1258956.83511,669874.795913,810362.37386,890554.633789,980991.313832,922852.175663,1414078.04984,5006381.84497,1037858.27561,46929.0174384,687602.706825,15482037.1243,2848685.78437,909641.026823,914884.267938,1096238.30159,1222462.34349,965976.027817,1332954.73949,1229401.72942
2062,969579.917148,970434.27499,1253677.445,665660.258566,797822.748403,887960.70578,979491.598277,921083.859356,1388893.28295,4909535.89908,1035397.13302,43137.5778067,685504.455544,15212322.6611,2798861.57582,893301.820925,913661.63925,1076764.44406,1200571.85438,965748.668764,1326599.984,1223352.11686
2063,969579.917148,969589.620331,1248521.79058,661544.499426,785577.02038,885427.572951,978027.032301,919356.987957,1364298.78397,4814959.77976,1032993.67345,39435.0000299,683455.38202,14948929.6297,2750205.12202,877345.565115,912467.665919,1057747.00501,1179194.42354,965526.638439,1320394.16808,1217444.29208
2064,969579.917148,968764.762272,1243486.97185,657525.203428,773618.301718,882953.810445,976596.792103,917670.590122,1340280.71877,4722600.2891,1030646.54499,35819.2014534,681454.333676,14691709.8749,2702689.05429,861763.284197,911301.676348,1039175.28736,1158318.02643,965309.811951,1314333.80103,1211674.93199
2065,969579.917148,967959.236819,1238570.15665,653600.109649,761939.865437,880538.02673,975200.07315,916023.717223,1316825.5768,4632405.47331,1028354.42734,32288.1481292,679500.184887,14440518.7062,2656286.64405,846546.212871,910163.014649,1021038.84421,1137930.91973,965098.067332,1308415.47378,1206040.79124
2066,969579.917148,967172.590866,1233768.57929,649767.010244,750535.142467,878178.862937,973836.089792,914415.442903,1293920.16465,4544324.59821,1026116.03118,28839.8538556,677591.836454,14195214.8297,2610971.79014,831685.791605,909051.040329,1003327.47388,1118021.63577,964891.285478,1302635.85731,1200538.70065
2067,969579.917148,966404.381933,1229079.53894,646023.749137,739397.717785,875874.992066,972504.074805,912844.862525,1271551.59828,4458308.11935,1023930.09745,25472.3790071,675728.214953,13955660.2648,2566719.0035,817173.661583,907965.127917,986031.213938,1098578.97581,964689.350074,1296991.70065,1195165.56534
2068,969579.917148,965654.177891,1224500.39793,642368.220682,728521.326404,873625.118149,971203.278909,911311.092613,1249707.295,4374307.65101,1021795.39653,22183.8293233,673908.272066,13721720.2581,2523503.39118,803001.659491,906904.666569,969140.334949,1079592.00304,964492.14753,1291479.82886,1189918.36286
2069,969579.917148,964921.556759,1220028.58056,638798.368684,717899.850475,871427.975658,969932.97042,909813.270436,1228374.96764,4292275.94388,1019710.72766,18972.3550315,672130.984096,13493263.2209,2481300.64489,789161.813737,905869.059786,952645.335982,1061050.0375,964299.566922,1286097.14159,1184794.14169
2070,969579.917148,964206.106436,1215661.57141,635312.185103,707527.315417,869282.3287,968692.43479,908350.553471,1207542.61676,4212166.85511,1017674.91823,15836.1496772,670395.351317,13270160.6461,2440087.02558,775646.339405,904857.72504,936536.938598,1042942.64932,964111.499921,1280840.61106,1179790.01948
