year,Base case cost,Modeled solar power (pv)
2016,354894.084506,386582.609076
2017,433759.436619,463520.456582
2018,496387.804473,524502.804692
2019,579892.294945,606081.754138
2020,621644.540181,646564.037852
2021,649479.370338,673359.757113
2022,672675.062136,695606.446773
2023,686592.477215,708730.003439
2024,698190.323114,719585.602119
2025,714427.307372,735031.674813
2026,732983.86081,752782.611298
2027,746901.275889,765977.595
2028,760818.690968,779189.338952
2029,777055.675226,794705.064382
2030,786333.951945,803373.801957
2031,804890.505383,821209.597818
2032,825766.628001,841350.092107
2033,844323.18144,859218.486875
2034,865199.304058,879391.387768
2035,876797.149957,890423.733087
