year,Base case diesel consumed,Modeled non-residential ashp
2017,146921.963712,102845.374554
2018,146921.963712,102845.374554
2019,146921.963712,102845.374554
2020,146921.963712,102845.374554
2021,146921.963712,102845.374554
2022,146921.963712,102845.374554
2023,146921.963712,102845.374554
2024,146921.963712,102845.374554
2025,146921.963712,102845.374554
2026,146921.963712,102845.374554
2027,146921.963712,102845.374554
2028,146921.963712,102845.374554
2029,146921.963712,102845.374554
2030,146921.963712,102845.374554
2031,146921.963712,102845.374554
