year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,146922.0,108636.295141
2018,146922.0,108636.295141
2019,146922.0,108636.295141
2020,146922.0,108636.295141
2021,146922.0,108636.295141
2022,146922.0,108636.295141
2023,146922.0,108636.295141
2024,146922.0,108636.295141
2025,146922.0,108636.295141
2026,146922.0,108636.295141
2027,146922.0,108636.295141
2028,146922.0,108636.295141
2029,146922.0,108636.295141
2030,146922.0,108636.295141
2031,146922.0,108636.295141
2032,,
2033,,
2034,,
2035,,
2036,,
