year,Base case cost,Modeled biomass for heat (cordwood)
2017,423511.541322,556167.497306
2018,463180.481322,585499.296994
2019,517541.621322,625694.726196
2020,545456.801322,646335.622273
2021,563087.441322,659371.97769
2022,577779.641322,670235.607204
2023,586594.961322,676753.784913
2024,595410.281322,683271.962621
2025,604225.601322,689790.14033
2026,615979.361322,698481.043941
2027,626263.901322,706085.584601
2028,635079.221322,712603.762309
2029,645363.761322,720208.302969
2030,652709.861322,725640.117726
2031,664463.621322,734331.021337
2032,,
2033,,
2034,,
2035,,
2036,,
