year,Base case cost,Modeled biomass for heat (pellet)
2017,98222.6666594,113635.36221
2018,107569.066659,120302.703031
2019,120587.266659,129589.356316
2020,126595.666659,133875.503986
2021,130935.066659,136971.055081
2022,134273.066659,139352.248231
2023,136609.666659,141019.083436
2024,138612.466659,142447.799326
2025,140949.066659,144114.634531
2026,143619.466659,146019.589051
2027,145956.066659,147686.424256
2028,147958.866659,149115.140146
2029,150295.466659,150781.975351
2030,151964.466659,151972.571926
2031,154968.666659,154115.645761
2032,,
2033,,
2034,,
2035,,
2036,,
