year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,33380.0,23811.9315006
2018,33380.0,23811.9315006
2019,33380.0,23811.9315006
2020,33380.0,23811.9315006
2021,33380.0,23811.9315006
2022,33380.0,23811.9315006
2023,33380.0,23811.9315006
2024,33380.0,23811.9315006
2025,33380.0,23811.9315006
2026,33380.0,23811.9315006
2027,33380.0,23811.9315006
2028,33380.0,23811.9315006
2029,33380.0,23811.9315006
2030,33380.0,23811.9315006
2031,33380.0,23811.9315006
2032,,
2033,,
2034,,
2035,,
2036,,
