year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,33380.0,24681.7559096
2018,33380.0,24681.7559096
2019,33380.0,24681.7559096
2020,33380.0,24681.7559096
2021,33380.0,24681.7559096
2022,33380.0,24681.7559096
2023,33380.0,24681.7559096
2024,33380.0,24681.7559096
2025,33380.0,24681.7559096
2026,33380.0,24681.7559096
2027,33380.0,24681.7559096
2028,33380.0,24681.7559096
2029,33380.0,24681.7559096
2030,33380.0,24681.7559096
2031,33380.0,24681.7559096
2032,,
2033,,
2034,,
2035,,
2036,,
