year,Base case cost,Modeled biomass for heat (pellet)
2017,14301.6915805,16937.1542974
2018,15949.0315805,18112.2778416
2019,18340.3315805,19818.1023413
2020,19456.2715805,20614.1537745
2021,20253.3715805,21182.761941
2022,20837.9115805,21599.7412632
2023,21209.8915805,21865.0917409
2024,21581.8715805,22130.4422186
2025,21953.8515805,22395.7926964
2026,22485.2515805,22774.8648074
2027,22910.3715805,23078.1224962
2028,23229.2115805,23305.5657629
2029,23707.4715805,23646.7306628
2030,23973.1715805,23836.2667183
2031,24504.5715805,24215.3388294
2032,,
2033,,
2034,,
2035,,
2036,,
