year,Base case cost,Elfin cove (joe's creek),Elfin cove hydroelectric permitting -- crooked creek,Ernie's creek (elfin cove),"Crooked creek and jim's lake (elfin cove) -- crooked creek, jim's lake",Crooked creek (elfin cove),Roy's creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07', 136.20')"
2020,77586.7837111,,,,,,,,
2021,80498.3624116,124706.115488,,-590016.511157,259621.028386,234668.980654,272085.910647,2431724.73324,478991.514381
2022,82369.0140118,123834.217369,,-624482.521611,253889.604345,231577.159976,268067.841181,2381731.07906,469105.164684
2023,83582.5908564,122735.80253,,-649375.717777,248481.135394,228328.480537,263953.796222,2333516.3917,459621.580816
2024,84318.4475343,121392.377505,,-669563.846032,243140.97076,224893.779629,259693.105099,2286577.30732,450293.247761
2025,85161.5817233,119994.12163,,-694552.694245,237588.917865,221443.114708,255413.259216,2240160.3429,440856.613294
2026,86733.8677458,119162.091724,,-723723.56993,232444.224206,218596.40951,251733.763323,2194862.26729,431928.7187
2027,87833.4622348,118087.627212,,-748193.89667,227364.981293,215562.858431,247905.539623,2150769.49038,423146.601267
2028,88688.3299016,116899.417755,,-770260.626462,222361.023242,212465.329985,244040.522742,2107757.83783,414522.715679
2029,89603.5411684,115606.286596,,-797187.297347,217088.099064,209297.371078,240100.266666,2065124.4221,405724.931143
2030,89621.9794906,113841.345351,,-814802.629285,211880.453235,205719.504991,235808.119051,2023858.4479,397057.135929
2031,91239.5232131,113114.793215,,-845832.388406,207075.379988,203193.520511,232520.154014,1983151.56312,388901.913494
2032,92981.1065578,112640.322432,,-874101.227569,202704.910699,200965.309844,229555.640101,1943804.27762,381256.307394
2033,94327.1040802,111799.119715,,-902653.349501,198031.56955,198410.35943,226279.17456,1904947.50505,373385.697728
2034,96234.6323249,111449.130119,,-933056.151297,193794.675253,196380.936713,223532.144026,1867189.40321,366032.303258
2035,97295.6739584,110674.152371,,-954110.811698,189662.213756,193983.627013,220473.466586,1830742.63806,358838.703155
2036,98766.5492086,109941.899325,,-984738.575366,185163.432174,191647.326073,217447.433416,1794218.17833,351370.203044
2037,99590.4069699,109081.347829,,-1003301.80808,181180.081633,189242.801449,214419.297573,1759493.57094,344464.330545
2038,101422.505715,108762.188212,,-1033366.46378,177209.193183,187391.48692,211904.835058,1724923.25292,337663.70551
2039,103255.442565,108665.884091,,-1058289.11024,173750.809651,185807.196414,209691.291734,1691778.72824,331433.67568
2040,105264.381582,108474.53652,,-1090506.27527,169900.085099,184147.516094,207383.281912,1658576.18411,324891.436746
2041,105264.381582,107480.061041,,-1094376.90203,166704.614153,181774.673556,204500.753394,1628035.98541,319012.164255
2042,105264.381582,106508.893557,,-1098156.81108,163584.036982,179457.444459,201685.78407,1598211.57189,313270.687076
2043,104829.404798,105125.51108,,-1102283.10508,160101.621721,176759.548759,198501.813956,1568651.19287,307228.799289
2044,104829.404798,104199.333636,,-1105887.90709,157125.607555,174549.666984,195817.250132,1540208.41699,301753.300213
2045,105264.381582,103729.840276,,-1108973.2447,154654.320559,172826.556137,193630.582605,1512867.24597,296841.110029
2046,105264.381582,102846.568613,,-1112411.05188,151816.172214,170719.048593,191070.382972,1485742.10045,291619.26706
2047,105699.358365,102418.975447,,-1115333.30854,149479.519861,169095.912621,189005.164898,1459687.67834,286954.788018
2048,105699.358365,101576.621958,,-1118611.8569,146772.850712,167086.036831,186563.568293,1433819.12405,281974.850557
2049,106134.335149,101188.9879,,-1121378.58756,144564.595864,165558.244258,184614.173356,1408991.8404,277546.60709
2050,106569.311932,100820.633807,,-1124070.27811,142418.291833,164076.454147,182720.662199,1384756.6417,273232.345485
