year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.24
2004,,2.22,2.24
2005,,2.95,2.24
2006,,3.7,3.79
2010,,3.99,4.0
2011,,4.51,4.51
2012,,4.87,5.02
2013,,5.1,5.07
2014,,,5.3
2016,start of forecast,1.89,2.33
2017,,2.33,2.77
2018,,2.65,3.09
2019,,3.11,3.55
2020,,3.33,3.77
2021,,3.48,3.92
2022,,3.6,4.04
2023,,3.68,4.12
2024,,3.74,4.18
2025,,3.82,4.26
2026,,3.92,4.36
2027,,4.0,4.44
2028,,4.07,4.51
2029,,4.16,4.6
2030,,4.21,4.65
2031,,4.32,4.76
2032,,4.42,4.86
2033,,4.52,4.96
2034,,4.63,5.07
2035,,4.7,5.14
2036,,4.81,5.25
2037,,4.87,5.31
2038,,4.98,5.42
2039,,5.07,5.51
2040,,5.19,5.63
