year,Base case diesel consumed,Modeled residential ashp
2017,2390.48988367,-9023.93297037
2018,2390.48988367,-9023.93297037
2019,2390.48988367,-9023.93297037
2020,2185.7490374,-9228.67381663
2021,2185.7490374,-9228.67381663
2022,2185.7490374,-9228.67381663
2023,2185.7490374,-9228.67381663
2024,2185.7490374,-9228.67381663
2025,1981.00819113,-9433.4146629
2026,1981.00819113,-9433.4146629
2027,1981.00819113,-9433.4146629
2028,1981.00819113,-9433.4146629
2029,1981.00819113,-9433.4146629
2030,1776.26734486,-9638.15550917
2031,1776.26734486,-9638.15550917
