year,Base case cost,Modeled biomass for heat (cordwood)
2017,413841.686174,449658.483944
2018,440158.486174,468017.308354
2019,476344.086174,493699.053292
2020,492792.086174,504811.710704
2021,503976.726174,512057.154428
2022,512529.686174,517380.710647
2023,518450.966174,520781.816515
2024,523056.406174,523232.873644
2025,528977.686174,526679.247804
2026,536214.806174,531120.414797
2027,542136.086174,534609.960168
2028,546741.526174,537147.384001
2029,553320.726174,541164.576279
2030,557268.246174,543255.730796
2031,564505.366174,547798.662697
2032,,
2033,,
2034,,
2035,,
2036,,
